Tenant,Org,MA Data Buffet Scenarios,GCorr 2019 with Sovereign,GCorr 2020,GCorr 2021,GCorr 2022,MA Public Firm TTC to PIT PD Converter,MA Sovereign TTC PD to PIT PD Converter,MA Private Firm TTC to PIT PD Converter,MA CI Loss Rate Model,MA Expected Consumer Credit Losses,MA CRE Loss Rate Model,Commercial Mortgage Metrics,Commercial Mortgage Metrics Co-op,Commercial Mortgage Metrics REIS,Commercial Mortgage Metrics Co-op REIS,MA Structured Analytics,MA Sovereign TTC to PIT PD Converter,MA Sovereign TTC to PIT PD Converter 9.1,Mortgage Portfolio Analyzer,Auto Portfolio Analyzer,Auto Lease Portfolio Analyzer,MA Muni Loss Forecast Model,MA Municipal Loss Forecast Model,MA CI Proxy PD,MA CI Proxy LGD,RiskCalc LGD,RiskCalc PD CCA,RiskCalc PD FSO,MA Expected Consumer Credit Losses Standard,Mortgage Portfolio Analyzer-Custom Cure Rate,MA Structured Analytics - Aegon - 1,MA Structured Analytics - Aegon - 2,MA Structured Analytics - Aegon - 3,MA Structured Analytics - Aegon - 4,MA Structured Analytics - Aegon - 5,MIS Corporate LGD,MIS Corporate LGD long run,MIS US Municipal Bond LGD,MIS Sovereign PD,MIS Sovereign LGD,MIS Structured Finance LGD,MIS Structured Finance PD,MIS US Municipal Bond PD,MIS Idealized Cumulative Expected Default Rates,MA Historical Loss Analyzer,MA Historical Loss Analyzer Qualitative Adjustment,MA Historical Loss Analyzer for CECL Calibration,Portfolio Analyzer Credit Cards,Portfolio Analyzer Personal Loans,Portfolio Analyzer Student Loans,CreditEdge 9.1,MA Private Firm TTC Rating to TTC PD,MA C&I Loss Rate Model,Product-IS,Product-CRA,CF Scenario-US,US National,US_Monthly,Int_Quarterly,Int_Monthly,State-MSA,State-MSA-Monthly,Product-PS,CMO Custom Lookup,MA EDFX Model,MA EL RBC PD LGD Rating - Forecasting
0014000000NXzuu,Voya,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,
0014000000NXyui,"Stifel, Nicolaus & Company",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,
0014000000NXyJd,East West Bank,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,
0014000000NXyHq,Webster,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,International,,TRUE,,,,,
0014000000NXy9I,AgFirst,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,,,TRUE,,,,,
0014000000NXwAq,TCF Bank,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,,,
0014000000NXvys,Seacoast Bank,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,TRUE,TRUE,,,TRUE,,,,,,,,,
0014000000NXum8,Lincoln,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,,,TRUE,,,,,
0014000000NXtWy,Aflac,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,
0014000000NXtsA,Raymond James & Associates,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,TRUE,TRUE,,,TRUE,,,,,,,,,
0014000000NXsPP,Stifel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,,TRUE,,TRUE,,,TRUE,,,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,TRUE,TRUE,,,TRUE,,,,TRUE,,,,,
0014000000NXrQF,Clearwater Analytics,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,
0014000000NXrGJ,CIT,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,International,,TRUE,,,,,
0014000000NXran,Flagstar,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,,,TRUE,,,,,
0014000000NXraD,FirstBank (Puerto Rico),TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,
0014000000NXqpx,Banc of California,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,TRUE,,,TRUE,,,,,,,,,
0014000000NXqps,Pacific Premier Bank,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,
0014000000NXotf,Google,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,TRUE,TRUE,,,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,International,,TRUE,,,,,
0014000000NXoQs,Allstate,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,
0014000000lJJGZ,FT Life POC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,IARE#IAUS#IAUT#IBEL#IBGR#IBRA#ICAN#ICHE#ICHL#ICHN#IDEU#IESP#IEUZN#IFIN#IFRA#IGBR#IGRC#IHKG#IIDN#IIND#IIRL#IISR#IITA#IJPN#IKOR#IKWT#ILUX#IMEX#IMYS#INGA#INLD#INZL#IPER#IPHL#IPRT#IQAT#IRUS#ISAU#ISGP#ISWE#ITHA#ITUR#ITWN#IVNM#IWRLD#IZAF,,,,,,,
0013300001p0y5O,BDO,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,#N/A,,,,,
0013300001nMZuP,Bank of Hope,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,TRUE,TRUE,,,TRUE,,,,,,,,,
0013300001mtTJ6,Plainscap,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,,TRUE,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,,,TRUE,,,,,
0013300001jz6Ud,Union Life POC,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,
0013300001eOf8H,Northwest,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,,TRUE,,,,,TRUE,TRUE,,,,,,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,TRUE,,,TRUE,,,,,
0013300001eOet3,First Foundation,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,,TRUE,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,,,TRUE,,,,,
0014000000NXqb2,Southstate,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,
0013300001eOeo3,Coastal,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,TRUE,TRUE,,,TRUE,,,,SC#GA,,,,,
0014000000YQWev,Southside,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,
0013300001eOf3f,Probank,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,
0014000000xZQrx,Bankwell,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,TRUE,TRUE,,,TRUE,,,,CT,,,,,
0014000001YBqUV,IAGR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,IDEU#IESP#IEUZN#IFRA#IGRC#IITA#ILUX#INLD#IWRLD,,,,,,,
0014000000NXwrD,Protective Life,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,
0014000000NY0SF,Caterpillar Financial Services Corporation,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,International,,,,,,,
0014000000NXtgU,Assurant Asset Management,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,
0014000000NY02i,The Manufacturers Life Insurance Company,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,International,,TRUE,,,,,
001f300001s65XY,Enel SpA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
0014000000NXzvU,International Fund for Agricultural Development (IFAD),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,International,,,,,,,
001f300001xZ1Rq,Humana Inc,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,TRUE,,TRUE,TRUE,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,ICAN#ICHE#ICHN#IDEU#IEUZN#IFRA#IGBR#IIRL#IISR#IITA#IJPN#IKOR#INLD#ISGP#IWRLD,,TRUE,,,,,
0014000000NY07D,USAA,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,
0014000000NXvwj,Bank of Jordan,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
0013300001eOeqr,Farm Credit Bank Texas,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,
