Tenant,Org,MA Public Firm TTC to PIT PD Converter,MA Sovereign TTC PD to PIT PD Converter,MA Private Firm TTC to PIT PD Converter,MA CI Loss Rate Model,MA Expected Consumer Credit Losses,MA CRE Loss Rate Model,Commercial Mortgage Metrics,Commercial Mortgage Metrics Co-op,Commercial Mortgage Metrics REIS,Commercial Mortgage Metrics Co-op REIS,MA Structured Analytics,MA Sovereign TTC to PIT PD Converter,MA Sovereign TTC to PIT PD Converter 9.1,Mortgage Portfolio Analyzer,Auto Portfolio Analyzer,MA Muni Loss Forecast Model,MA Municipal Loss Forecast Model,MA CI Proxy PD,MA CI Proxy LGD,RiskCalc LGD,RiskCalc PD CCA,RiskCalc PD FSO,MA Expected Consumer Credit Losses Standard,Mortgage Portfolio Analyzer-Custom Cure Rate,MA Structured Analytics - Aegon - 1,MA Structured Analytics - Aegon - 2,MA Structured Analytics - Aegon - 3,MA Structured Analytics - Aegon - 4,MA Structured Analytics - Aegon - 5,MIS Corporate LGD,MIS US Municipal Bond LGD,MIS Sovereign PD,MIS Sovereign LGD,MIS Structured Finance LGD,MIS Structured Finance PD,MIS US Municipal Bond PD,MIS Idealized Cumulative Expected Default Rates,MA Historical Loss Analyzer,MA Historical Loss Analyzer for CECL Calibration,MA Historical Loss Analyzer Qualitative Adjustment,Portfolio Analyzer Credit Cards,Portfolio Analyzer Personal Loans,Portfolio Analyzer Student Loans,CreditEdge 9.1,Auto Lease Portfolio Analyzer,MA C&I Loss Rate Model,MA Private Firm TTC Rating to TTC PD,GCorr 2019 with Sovereign,GCorr 2020,GCorr 2021,GCorr 2022,MA Data Buffet Scenarios,Auto Portfolio Analyzer - Alliant,Auto Portfolio Analyzer - FirstBank Puerto Rico,Commercial Mortgage Metrics REIS 2,Cluster,Internal,Updated date,Product-IS,Product-CRA,CF Scenario-US,US National,US_Monthly,Int_Quarterly,Int_Monthly,State-MSA,State-MSA-Monthly,MIS Corporate LGD long run,SFTP,securities solution,Product-PS,CMO Custom Lookup,MA EL RBC PD LGD Rating - Forecasting,MA EDFX Model
001f300001rMT1C,First Technology Federal Credit Union,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,High,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,,,,,,,
0014000000NXqX3,FirstBank (Tennessee),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,TN,,,,,,,,
0014000000NXraD,FirstBank Puerto Rico,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,Medium,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXran,Flagstar Bank,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Medium,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,,,,,,,
0014000000NXre3,Fresno Madera Farm Credit,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000lJJGZ,FTLife Insurance Company Limited,TRUE,TRUE,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,IARE#IAUS#IAUT#IBEL#IBGR#IBRA#ICAN#ICHE#ICHL#ICHN#IDEU#IESP#IEUZN#IFIN#IFRA#IGBR#IGRC#IHKG#IIDN#IIND#IIRL#IISR#IITA#IJPN#IKOR#IKWT#ILUX#IMEX#IMYS#INGA#INLD#INZL#IPER#IPHL#IPRT#IQAT#IRUS#ISAU#ISGP#ISWE#ITHA#ITUR#ITWN#IVNM#IWRLD#IZAF,,,,,,,,,,
001f3000021C1s3,General Motors LLC,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,IBEL#ICAN#ICHE#IDEU#IESP#IEUZN#IFIN#IFRA#IGBR#IIRL#IJPN#ILUX#INLD#ISWE#IWRLD#IARG,,TRUE,,TRUE,TRUE,TRUE,,,,
0014000000NXotf,Google LLC,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,International,,TRUE,,TRUE,TRUE,TRUE,,,,
0014000000P9MxV,Horizon Bank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
001f300001xZ1Rq,Humana Inc,TRUE,TRUE,TRUE,,,,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/24/2022,TRUE,,,TRUE,,ICAN#ICHE#ICHN#IDEU#IEUZN#IFRA#IGBR#IIRL#IISR#IITA#IJPN#IKOR#INLD#ISGP#IWRLD,,TRUE,,TRUE,TRUE,TRUE,,,,
0014000001YBqUV,Interamerican,TRUE,TRUE,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,IDEU#IESP#IEUZN#IFRA#IGRC#IITA#ILUX#INLD#IWRLD,,,,,,,,,,
001f300001uAkke,Inter-American Investment,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,International,,,,,,,,,,
0014000000YQWnj,Investor's Bank,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Medium,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,,,,,,,
0013300001eOeyh,Legence Bank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXum8,Lincoln Financial,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,,,,,,,
0013300001khTfL,Logix Federal Credit Union,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,High,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NY0Hr,Mass Mutual,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,International,,TRUE,,,,,,,,
0013300001jwuMv,Mega Bank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,CA,,,,,,,,
001f300001wR4ek,Melrose,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,MA,,,,,,,,
0014000000NXrit,Mercantil,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0013300001pgKkH,Metropolitan Bank,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0013300001jzZ6E,Mills County State Bank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000RaNuA,New York Community Bank,TRUE,TRUE,TRUE,,,,,,,,TRUE,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,International,,TRUE,,,,,,,,
0013300001eOf8H,Northwest,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,,,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Medium,,3/1/2022,TRUE,,,TRUE,TRUE,,,TRUE,,,,,,,,
001f300001vebec,Numerica,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXqsY,Orix USA Corporation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXqps,Pacific Premier Bank,TRUE,TRUE,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXoSe,PCSB Bank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0013300001ifPhZ,Penn Community Bank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0013300001eOf2X,Peoples State Bank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0013300001mtTJ6,Plains Capital (Hilltop),TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,,,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,,TRUE,,,,,
0013300001eOf3f,Professional Bank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXwrD,Protective Life,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXtsA,Raymond James & Associates,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NY0Qd,Raymond James Securities,TRUE,TRUE,TRUE,,,,,,,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,International,,TRUE,,,,,,,,
salespoc,Sales,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,TRUE,3/1/2022,TRUE,,,TRUE,,,,TRUE,,,,,,,,
0014000000NXvys,Seacoast Bank,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Medium,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXys2,Signature,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000YQWev,Southside,TRUE,TRUE,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXqb2,Southstate,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXsCc,Standard Insurance Company,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,TRUE,TRUE,TRUE,,,,
0014000000Pp70r,Sterling,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,,,,,,,
0014000000NXsPP,Stifel,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,,TRUE,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,,,,,,,
0014000000NXyui,"Stifel, Nicolaus & Company",TRUE,TRUE,TRUE,,,,,,,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXx2p,Sunflower Bank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,TRUE,,,,,,
0014000000NXwAq,TCF Bank,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Medium,,3/1/2022,TRUE,,,TRUE,,,,TRUE,TRUE,,,,,,,
0014000000NY02i,The Manufacturers Life Insurance Company,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,International,,TRUE,,,,,,,,
0014000000NXsZ4,TriState,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,International,,NJ#NY#OH#PA,,,,,,,,
0014000000YQWZL,Unipol,TRUE,TRUE,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,International,,,,,,,,,,
validation,Validation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,,,,,,,
001f300001xADCw,VICI Properties,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0013300001eOf9v,Vista Bank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXzuu,Voya Services Company (ING NA Insurance Corp),TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0013300001kj5Le,Vystar,TRUE,TRUE,TRUE,,TRUE,,TRUE,,TRUE,,,,,TRUE,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Medium,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,,TRUE,,,,,
0014000000NXyHq,Webster,TRUE,TRUE,TRUE,,,,,,,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,International,,TRUE,,,,,,,,
0014000000NXqCk,BKD,TRUE,TRUE,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
001f300001vedj5,GMS,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXtrw,Paypal,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXrRk,Columbia Credit Union,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXyPN,Accord,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,ICAN#IWRLD,,,,,,,TRUE,TRUE,TRUE,TRUE
001f300001veyZf,Crossriver,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXvPZ,Merrick Bank,TRUE,TRUE,TRUE,,,,,,,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,,TRUE,,,,,
0014000000NY07D,USAA,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,TRUE,TRUE,TRUE,TRUE
0013300001msGBr,Citizens Community Federal National Association,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXtEW,"TIAA, FSB (fka EverBank)",TRUE,TRUE,TRUE,,,,,,TRUE,,,,TRUE,TRUE,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,TRUE,,,,,,
0014000000NXphs,Atradius Information Services B.V.,TRUE,TRUE,TRUE,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,International,,,,,,,,,,
0013300001eOeuc,First State Bank and Trust Fremont,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000vnJYt,Gorham Savings Bank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0013300001eOf31,Plains Commerce Bank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0013300001bMJ8W,The Ephrata National Bank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0013300001khTxX,Teachers Federal Credit Union,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,TRUE,,,,,,
